[	0.0000000000000000e+00	9.8656780003028577e-01	5.7743288563822170e-01	]
[	1.0000000000000001e-01	1.0168576320290763e+00	5.2237650548187231e-01	]
[	2.0000000000000001e-01	1.0415821327593695e+00	4.7126844198707529e-01	]
[	2.9999999999999999e-01	1.0616627033407766e+00	4.2420678581876964e-01	]
[	4.0000000000000002e-01	1.0779051032721807e+00	3.8114987644747739e-01	]
[	5.0000000000000000e-01	1.0909995675246040e+00	3.4195953959690434e-01	]
[	5.9999999999999998e-01	1.1015280591522967e+00	3.0643515524563647e-01	]
[	7.0000000000000007e-01	1.1099752439341117e+00	2.7433946548953425e-01	]
[	8.0000000000000004e-01	1.1167408889748607e+00	2.4541745218617661e-01	]
[	8.9999999999999991e-01	1.1221522507171491e+00	2.1940967819714016e-01	]
[	1.0000000000000000e+00	1.1264756363631416e+00	1.9606136485064588e-01	]
[	1.1000000000000001e+00	1.1299267386043130e+00	1.7512828093392513e-01	]
[	1.2000000000000000e+00	1.1326796068927818e+00	1.5638030726675597e-01	]
[	1.3000000000000000e+00	1.1348742742935736e+00	1.3960334689788728e-01	]
[	1.4000000000000001e+00	1.1366231428831230e+00	1.2460008674318697e-01	]
[	1.5000000000000000e+00	1.1380162688245481e+00	1.1118998436204242e-01	]
[	1.6000000000000001e+00	1.1391256987693879e+00	9.9208750900927165e-02	]
[	1.7000000000000002e+00	1.1400090041292978e+00	8.8507523445384734e-02	]
[	1.7999999999999998e+00	1.1407121466940620e+00	7.8951862217151170e-02	]
[	1.8999999999999999e+00	1.1412717927310476e+00	7.0420665766702847e-02	]
[	2.0000000000000000e+00	1.1417171758115821e+00	6.2805066789163144e-02	]
[	2.1000000000000001e+00	1.1420715926470462e+00	5.6007349428944544e-02	]
[	2.2000000000000002e+00	1.1423536018868452e+00	4.9939913608513832e-02	]
[	2.3000000000000003e+00	1.1425779833807050e+00	4.4524301255906742e-02	]
[	2.3999999999999999e+00	1.1427565048310464e+00	3.9690292002379661e-02	]
[	2.5000000000000000e+00	1.1428985339174411e+00	3.5375071009558758e-02	]
[	2.6000000000000001e+00	1.1430115266655940e+00	3.1522468363851940e-02	]
[	2.7000000000000002e+00	1.1431014168438836e+00	2.8082267435763097e-02	]
[	2.8000000000000003e+00	1.1431729262948773e+00	2.5009578381583897e-02	]
[	2.8999999999999999e+00	1.1432298121600666e+00	2.2264272304780921e-02	]
[	3.0000000000000000e+00	1.1432750637698417e+00	1.9810471311247455e-02	]
[	3.1000000000000001e+00	1.1433110594075233e+00	1.7616089658689851e-02	]
[	3.2000000000000002e+00	1.1433396910993725e+00	1.5652421324250241e-02	]
[	3.3000000000000003e+00	1.1433624639346720e+00	1.3893769535571074e-02	]
[	3.4000000000000004e+00	1.1433805751019668e+00	1.2317114084883686e-02	]
[	3.5000000000000000e+00	1.1433949767743492e+00	1.0901812545345177e-02	]
[	3.5999999999999996e+00	1.1434064261359234e+00	9.6293318141207514e-03	]
[	3.7000000000000002e+00	1.1434155251707769e+00	8.4830067056645125e-03	]
[	3.7999999999999998e+00	1.1434227523009119e+00	7.4478226030048628e-03	]
[	3.9000000000000004e+00	1.1434284875330434e+00	6.5102194404169098e-03	]
[	4.0000000000000000e+00	1.1434330324343134e+00	5.6579145352206881e-03	]
[	4.0999999999999996e+00	1.1434366259857920e+00	4.8797420082860987e-03	]
[	4.2000000000000002e+00	1.1434394571465314e+00	4.1655067325585236e-03	]
[	4.2999999999999998e+00	1.1434416747882277e+00	3.5058509266480305e-03	]
[	4.4000000000000004e+00	1.1434433955225320e+00	2.8921316672412467e-03	]
[	4.5000000000000000e+00	1.1434447098323843e+00	2.3163077309682483e-03	]
[	4.6000000000000005e+00	1.1434456868296192e+00	1.7708342940082832e-03	]
[	4.6999999999999993e+00	1.1434463778889425e+00	1.2485641175740750e-03	]
[	4.7999999999999998e+00	1.1434468193493017e+00	7.4265393020770960e-04	]
[	4.9000000000000004e+00	1.1434470344246617e+00	2.4647478434588685e-04	]
[	5.0000000000000000e+00	1.1434470344246619e+00	-2.4647478432707209e-04	]
[	5.0999999999999996e+00	1.1434468193493019e+00	-7.4265393018576936e-04	]
[	5.2000000000000002e+00	1.1434463778889432e+00	-1.2485641175545251e-03	]
[	5.3000000000000007e+00	1.1434456868296199e+00	-1.7708342939890028e-03	]
[	5.4000000000000004e+00	1.1434447098323854e+00	-2.3163077309488640e-03	]
[	5.5000000000000000e+00	1.1434433955225325e+00	-2.8921316672165629e-03	]
[	5.6000000000000005e+00	1.1434416747882286e+00	-3.5058509266208391e-03	]
[	5.6999999999999993e+00	1.1434394571465323e+00	-4.1655067325281486e-03	]
[	5.7999999999999998e+00	1.1434366259857922e+00	-4.8797420082526445e-03	]
[	5.8999999999999995e+00	1.1434330324343152e+00	-5.6579145351858756e-03	]
[	6.0000000000000000e+00	1.1434284875330449e+00	-6.5102194403816567e-03	]
[	6.0999999999999996e+00	1.1434227523009133e+00	-7.4478226029647604e-03	]
[	6.2000000000000002e+00	1.1434155251707796e+00	-8.4830067056212276e-03	]
[	6.2999999999999998e+00	1.1434064261359249e+00	-9.6293318140693203e-03	]
[	6.4000000000000004e+00	1.1433949767743505e+00	-1.0901812545290912e-02	]
[	6.5000000000000000e+00	1.1433805751019666e+00	-1.2317114084821518e-02	]
[	6.6000000000000005e+00	1.1433624639346711e+00	-1.3893769535499855e-02	]
[	6.7000000000000002e+00	1.1433396910993743e+00	-1.5652421324170974e-02	]
[	6.8000000000000007e+00	1.1433110594075246e+00	-1.7616089658603118e-02	]
[	6.8999999999999995e+00	1.1432750637698408e+00	-1.9810471311149911e-02	]
[	7.0000000000000000e+00	1.1432298121600668e+00	-2.2264272304671123e-02	]
[	7.0999999999999996e+00	1.1431729262948782e+00	-2.5009578381464542e-02	]
[	7.1999999999999993e+00	1.1431014168438867e+00	-2.8082267435624385e-02	]
[	7.2999999999999998e+00	1.1430115266655960e+00	-3.1522468363701012e-02	]
[	7.4000000000000004e+00	1.1428985339174442e+00	-3.5375071009388762e-02	]
[	7.5000000000000000e+00	1.1427565048310522e+00	-3.9690292002189521e-02	]
[	7.5999999999999996e+00	1.1425779833807104e+00	-4.4524301255698728e-02	]
[	7.7000000000000002e+00	1.1423536018868539e+00	-4.9939913608273954e-02	]
[	7.8000000000000007e+00	1.1420715926470582e+00	-5.6007349428677376e-02	]
[	7.9000000000000004e+00	1.1417171758115980e+00	-6.2805066788860830e-02	]
[	8.0000000000000000e+00	1.1412717927310660e+00	-7.0420665766367602e-02	]
[	8.1000000000000014e+00	1.1407121466940873e+00	-7.8951862216775054e-02	]
[	8.1999999999999993e+00	1.1400090041293278e+00	-8.8507523444965583e-02	]
[	8.2999999999999989e+00	1.1391256987694283e+00	-9.9208750900457790e-02	]
[	8.4000000000000004e+00	1.1380162688245974e+00	-1.1118998436151893e-01	]
[	8.5000000000000000e+00	1.1366231428831859e+00	-1.2460008674260666e-01	]
[	8.5999999999999996e+00	1.1348742742936528e+00	-1.3960334689723808e-01	]
[	8.6999999999999993e+00	1.1326796068928822e+00	-1.5638030726603394e-01	]
[	8.8000000000000007e+00	1.1299267386044407e+00	-1.7512828093313296e-01	]
[	8.9000000000000004e+00	1.1264756363632999e+00	-1.9606136484977760e-01	]
[	9.0000000000000000e+00	1.1221522507173507e+00	-2.1940967819620594e-01	]
[	9.0999999999999996e+00	1.1167408889751120e+00	-2.4541745218519317e-01	]
[	9.2000000000000011e+00	1.1099752439344257e+00	-2.7433946548853955e-01	]
[	9.3000000000000007e+00	1.1015280591526866e+00	-3.0643515524469622e-01	]
[	9.3999999999999986e+00	1.0909995675250901e+00	-3.4195953959614589e-01	]
[	9.5000000000000000e+00	1.0779051032727813e+00	-3.8114987644711251e-01	]
[	9.5999999999999996e+00	1.0616627033415198e+00	-4.2420678581915489e-01	]
[	9.6999999999999993e+00	1.0415821327602828e+00	-4.7126844198878232e-01	]
[	9.8000000000000007e+00	1.0168576320301961e+00	-5.2237650548578596e-01	]
[	9.9000000000000004e+00	9.8656780003164346e-01	-5.7743288564565487e-01	]
[	1.0000000000000000e+01	9.8656780003164346e-01	-5.7743288564565487e-01	]
